radius,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10
1,9377.700404858297,681.8663967611336,5601.627530364372,2262.927125506073,1760.3562753036438,3822.255060728745,5672.259109311739,5740.174089068824,7025.125506072873,586.7854251012145
2,80180.42510121455,5911.319838056681,48765.67206477733,19651.878542510123,14952.16194331984,33528.267206477736,49064.4979757085,49618.68421052632,60778.47368421053,4879.012145748989
3,114390.55870445343,8432.323886639677,69830.18218623482,28127.66801619433,21279.121457489877,48089.23886639676,70161.60728744938,70889.65587044535,86884.991902834,6954.493927125506
4,216241.29554655874,15965.453441295545,132542.87449392714,53345.858299595144,40219.251012145745,91511.36032388663,132972.09716599193,134178.26720647773,164691.10931174093,13213.538461538461
5,315704.1417004049,23311.137651821864,194166.21052631582,78004.42914979758,58621.49392712551,134286.93117408908,194503.06882591097,196135.74493927127,240997.66396761138,19347.61943319838
6,511160.73684210534,37690.0971659919,315440.6315789474,126471.27530364374,94874.5101214575,218471.6234817814,315720.4412955466,318064.86639676115,391157.68421052635,31450.068825910934
7,575565.8704453441,42416.97975708502,355480.58704453445,142431.2955465587,106773.2145748988,246297.74898785423,355719.64777327934,358330.2995951418,440684.004048583,35448.9028340081
8,828551.8866396763,60895.28744939272,513233.50202429143,205377.6153846154,153620.96761133603,355945.1255060729,513100.3886639676,516718.8987854251,635423.4170040486,51256.7935222672
9,1044450.8906882589,76637.97975708502,648376.1619433198,259149.979757085,193514.22672064774,450135.05263157893,647887.1740890688,652024.5546558704,802027.0121457491,64991.91902834008
10,1287945.109311741,94393.67206477733,800660.5627530364,319952.90283400816,238370.71255060728,556487.1943319838,799853.7327935223,804697.4291497977,989825.5141700404,80525.43319838058
11,1467838.3076923077,107398.03238866397,913372.2631578947,364961.5182186235,271475.1902834008,635149.0404858299,912391.5708502025,917702.5222672065,1128611.133603239,92030.23076923078
12,1762464.3562753038,128780.38461538461,1097984.1943319838,438537.8906882591,325875.0890688259,764415.6963562754,1096750.858299595,1102746.3927125507,1356180.6477732793,110921.46153846155
13,2021972.9271255063,147620.0,1261083.3765182188,503475.4777327935,373850.2307692308,878540.028340081,1259342.036437247,1265894.4736842108,1556975.3603238869,127672.01214574899
14,2335957.4615384615,170569.82995951414,1458188.9473684211,581914.5627530364,431971.87044534413,1016366.6882591094,1455953.1862348178,1463307.0202429148,1799844.7611336033,147878.0769230769
15,2641697.117408907,192813.34412955467,1650776.8137651822,658500.927125506,488488.0,1151300.1700404857,1647739.6558704453,1655710.1578947369,2036973.987854251,167755.43319838055
16,3025327.105263158,220726.4008097166,1892325.947368421,754660.3886639676,559236.3927125506,1320191.1417004047,1888112.5020242915,1897223.9757085019,2334316.6356275305,192726.4129554656
17,3268085.125506073,238300.08097165992,2045265.0485829962,815471.4615384615,604003.2307692308,1426988.8056680162,2040138.8259109312,2050133.1943319838,2522631.2914979756,208512.5708502024
18,3718763.497975708,270744.42510121455,2329361.5587044535,928242.9271255061,687022.5020242914,1625145.7004048584,2322374.4655870446,2333841.230769231,2872314.655870445,237933.34008097168
19,4106441.2186234817,298472.7530364372,2574162.461538462,1025323.3157894737,758360.3967611337,1795661.1983805667,2565108.036437247,2577761.955465587,3173283.9635627526,263349.84210526315
20,4514267.955465587,327700.6437246963,2831413.5384615385,1127176.769230769,833520.5465587043,1974435.1578947366,2820093.4696356277,2834179.0364372474,3490036.712550608,290075.74493927124
21,4816799.307692307,349229.6923076923,3022116.0850202427,1202529.7975708505,889227.1295546559,2106649.3238866394,3008840.0647773277,3024232.3157894732,3724894.8623481784,309858.020242915
22,5309210.076923076,384415.085020243,3332922.1983805667,1325303.7813765183,980059.3400809716,2322048.4736842103,3316003.2186234817,3333318.8218623484,4107484.3927125507,342188.2672064778
23,5719924.5587044535,413604.943319838,3591941.7813765183,1427551.141700405,1056113.2510121458,2501107.6761133606,3571860.6801619437,3590814.3927125507,4426486.48582996,369128.7813765182
24,6080379.238866397,439230.6234817814,3818593.0850202427,1516968.0040485829,1123368.097165992,2657572.9230769235,3795583.4898785423,3816702.331983805,4706377.700404858,392624.6477732793
25,6570451.016194331,474049.2753036437,4127361.748987854,1638535.817813765,1214382.3198380568,2870725.44534413,4099850.748987854,4123851.902834008,5087198.724696356,424694.1012145749
26,7120505.303643725,513054.2064777328,4473638.497975709,1774653.7368421054,1317270.7975708502,3109316.2024291498,4440927.927125506,4468189.0,5514723.522267207,460610.25910931174
