radius,Gene_1,Gene_2,Gene_3,Gene_4,Gene_5,Gene_6,Gene_7,Gene_8,Gene_9,Gene_10
1,9359.141645324962,782.5241073396293,6530.921825461652,2611.0062372780653,1622.467766886802,4660.539526948318,6517.588059574217,6598.731237044395,7813.875250625148,607.1647091411749
2,81015.9772145222,6778.4355621276045,56784.07994025996,22636.945828397453,13922.97789732653,40703.094386488105,56432.88663172341,57094.29868817654,68007.20684048251,5315.648792874321
3,115694.33107201736,9677.59441366105,81149.34982522424,32300.664379897004,19866.720344304274,58224.36449759056,80602.41097388488,81456.60019932076,97175.79663750285,7602.366147134254
4,218884.3201446089,18307.95601154639,153429.24614078345,60948.8973736676,37717.4046445083,110250.41615689578,152221.64015009892,153706.050066424,183943.11226437578,14530.805434523716
5,319712.7431167823,26740.583546465572,224000.07041330362,88796.64405176378,55141.01026070387,161202.8791863295,222031.37972772625,224145.592682315,268657.28638606094,21288.63898786273
6,517803.797274802,43282.63328266525,361943.52236243454,143252.736787164,89606.46647006783,260622.88963777892,358630.78555320174,361873.7585055758,434576.1287665873,34600.16561335987
7,583094.088235387,48710.93867244032,407250.7230402558,161088.356479773,100958.1755434965,293289.50664267316,403546.7828910204,407167.2758304061,489148.1119320813,38967.167431635506
8,839611.003031966,69798.74463653933,584747.5607152204,231224.3550282215,145668.77690162262,421269.50889758207,579560.9380259304,584329.7881216761,702843.7859735553,56184.26717890469
9,1058593.710019935,87620.93837100189,735781.4042286421,290837.22662583087,184008.5574119783,530396.9943480904,729547.6050467211,734865.0694193713,884896.6800659752,71004.86317581737
10,1305520.7255429453,107534.02087221424,905205.5937950723,357891.27315589425,227395.99889584817,652760.9002055647,897970.1216725408,903884.6905481822,1089457.9630367954,87616.87197452903
11,1487973.899977925,122101.08825881137,1030168.5937937429,407275.9841056885,259443.26856595208,742770.3846194472,1022307.3094962592,1028414.1644360991,1240255.2033607017,99888.2854998814
12,1786577.2571256785,145944.47187667596,1234070.8040918256,487899.3881994013,312205.0684683059,889645.6505413359,1225156.6866896353,1231640.62794635,1486749.575090043,119980.58302115742
13,2049566.9676141848,166883.71576745465,1413482.516109563,558548.3197274323,358919.2024646961,1018502.384479113,1403403.8888491376,1410254.4873027687,1703615.5471434835,137741.98748283577
14,2367745.2494931472,192238.29905366598,1629221.9280252333,643579.0805287623,415860.0613692862,1173155.209858107,1618007.5390360605,1625403.465786108,1964773.545857366,159148.04382479828
15,2677641.668720559,216744.19474303545,1839266.5486928397,726344.1419430941,471375.9760809372,1323655.0830916502,1826459.6567578937,1834194.4238947118,2219451.3780751424,180147.09180028067
16,3066463.0825291085,247371.1684430514,2101458.9400510034,829832.9344492771,541405.6068572329,1510895.7486632245,2086652.1109446473,2095164.7096968822,2537737.7265333384,206513.0120120678
17,3312569.2654714636,266559.76916866336,2266906.811423258,895012.0360290783,586029.1036848929,1628757.2366237496,2250743.8642214877,2259815.7716060756,2738695.1388023393,223205.20878662387
18,3769502.3058062787,301944.43283143133,2573286.5888612587,1015615.8000924806,669040.9557960115,1846319.2425711409,2554338.028907551,2564576.777346148,3111105.8645931636,254160.43251865485
19,4162562.199327344,332077.92135725496,2836167.395927766,1119373.6550923872,740634.7547862577,2032580.8840628178,2814318.402449992,2825589.302398909,3430718.8085243083,280801.3038081222
20,4575888.928895957,363570.21171773184,3111520.3916431773,1227894.1549708704,816805.3503352886,2227020.106805883,3086565.7294138656,3099037.160805999,3766009.853361924,308828.205666674
21,4882566.46951062,386712.68415303883,3315230.1017533084,1308342.8187973385,873799.9637633343,2370216.8041123454,3287817.5339764236,3301229.5627926937,4014350.0276903748,329652.6381690198
22,5381446.790005627,424181.8392019301,3645626.2450460005,1438564.2911548365,966531.7335477684,2602709.6084745075,3614136.9905568515,3628855.6764635625,4417430.03025977,363311.2217915757
23,5797396.794490842,455168.13893460203,3920232.8056851393,1546724.886031758,1044589.8709235832,2795028.5211887364,3885170.1611757358,3900907.415919013,4752838.382584746,391357.28042010276
24,6162100.4579052,482370.07232651353,4160145.8756237505,1640967.7955266607,1114212.1341964663,2962314.8204209637,4121795.0951669826,4139242.634919215,5046486.013930133,415896.3748891697
25,6658289.577264912,518911.76940782473,4485679.764204493,1768568.351130135,1207926.9118215647,3189260.8613764867,4442559.422235416,4462476.036289682,5445075.099661258,449151.8708948629
26,7214953.326464493,559618.5320962634,4849470.014872879,1911235.2604774262,1314222.4735366718,3441963.4345017513,4801088.373050019,4823882.531872045,5891229.144672659,486450.9634048232
27,7601061.088887607,587639.0610786781,5100850.310159735,2009781.0161186995,1388249.340726298,3616177.9498287784,5048734.667306155,5073775.543765803,6199932.449645915,512219.34464565275
28,8116132.307668058,624983.7981959388,5435214.176623428,2140723.0536436173,1488048.3682383806,3847184.4582259394,5378209.941293664,5406270.696025375,6611006.779413312,546477.4480420966
29,8573019.770728532,658115.979533332,5730339.365150574,2256085.2441178383,1575451.6417921428,4051024.3959028996,5668945.303789353,5700002.62763273,6974418.6517318785,576605.3054523806
30,9171651.749346877,701530.9193702426,6115433.75088093,2406948.2617622428,1691174.2292682407,4315804.995343381,6048948.177048509,6083280.21703274,7449070.812640056,616007.5148555626
31,9508822.76044489,725872.1920558076,6331732.934695926,2491862.149543784,1757207.7911892545,4464001.42855941,6262328.061763099,6298668.098939482,7715882.715754402,638338.2136929728
32,10125084.729947502,770242.4893820967,6724880.102832351,2646914.522884877,1876477.9878991302,4733836.11726173,6650626.145072418,6690462.054402495,8201711.15835219,678675.3234902454
33,10625757.454431735,806400.3990866492,7042982.369656658,2772651.331873167,1973306.052273881,4951970.336476192,6965056.695322065,7007980.439682729,8594852.891061302,711340.1717155769
34,11137218.961786708,843109.6791033035,7366235.65950077,2900808.5245282548,2072380.8259705484,5173212.599786395,7284924.882198819,7331815.519751744,8995235.02197812,744597.3951169227
35,11674743.193759646,881854.2119374,7704660.776545466,3035397.1107138735,2176123.923582314,5404881.645574389,7619969.828450074,7671326.202627205,9414705.708699778,779706.2980614052
36,12162969.532711986,917003.2899308152,8010601.544552671,3157225.126831247,2269551.093536224,5614257.409801836,7923397.908659246,7978936.829751523,9794660.380057538,811325.7176200551
37,12695196.53968349,955119.7637754651,8342808.615484494,3290019.1716008703,2371442.5993408146,5841625.75898838,8252847.423739089,8313415.059197987,10207200.036300033,845966.8937327666
38,13182542.017300885,990103.5991345391,8645311.852572305,3411633.555054085,2465227.554649612,6048841.708267623,8553666.098410312,8618541.798152743,10583419.864377107,877681.5201647857
39,13759054.626914896,1031372.5575794622,9002488.1738808,3554995.5924843894,2574853.9428542866,6293430.420780192,8908330.413009124,8978862.945959099,11027554.960693283,915117.6078757464
40,14339358.763224378,1072838.583485327,9360258.185515143,3698885.710929078,2685297.0169162787,6538773.592123921,9264206.375559429,9340368.320041401,11472776.570048915,952726.1675324657
41,14743421.479541795,1101685.610862215,9607933.20276972,3799677.7028800645,2762738.3449828383,6708563.562887952,9510884.019037604,9590440.7667603,11780850.944695784,978967.7280977084
42,15362800.961659186,1146181.8485467066,9987999.469827915,3952884.9915747247,2880355.9682942806,6969118.165269871,9888884.588985657,9974154.68328337,12253440.993474577,1018779.694555176
43,15852153.469242705,1181507.093754241,10287730.485609962,4073655.69198839,2972925.3324543512,7174804.624738675,10187006.430328565,10276936.780548664,12626361.269973915,1050041.800605449
44,16440690.876311116,1223717.7304706594,10646899.95089943,4219471.8461631425,3084960.614857629,7421148.497388152,10544275.54411133,10639300.919012362,13072320.64337838,1087648.9724920199
45,16921997.181052856,1258344.5858296384,10939265.541559882,4338028.7529596705,3175991.552537703,7622326.084763375,10835497.655690782,10934694.310493654,13435761.960060893,1118269.4505873672
46,17450944.92318923,1296851.8205652575,11260727.693672705,4468173.002558635,3276018.6095269243,7842955.497581933,11156138.258127835,11260068.822168976,13835629.55374713,1151848.0198666833
